開始時間,歌詞,説明,画像プロンプト,動画プロンプト
0:00,朝の光が窓から差し込む,朝の静かな部屋,morning light through window,sunlight streaming indoor
0:10,新しい一日が始まる予感,希望に満ちた朝,hopeful morning scene,sunrise timelapse
0:20,街は目覚めて動き出す,街の朝の風景,city waking up morning,busy city morning
0:30,人々の足音が響く通り,賑やかな通勤風景,people walking street,crowded street walking
0:40,カフェから漂うコーヒーの香り,カフェの温かい雰囲気,cozy cafe coffee steam,coffee brewing closeup
0:50,今日も素敵な出会いがありそう,期待に満ちた表情,hopeful person smiling,people meeting greeting
1:00,空を見上げれば青い空,澄み切った青空,clear blue sky,clouds moving sky
1:10,雲がゆっくりと流れていく,穏やかな雲の動き,peaceful clouds drifting,timelapse clouds
1:20,風が優しく頬を撫でる,心地よい風,gentle breeze nature,wind through trees
1:30,この瞬間を大切にしたい,大切な時間,precious moment captured,slow motion happiness
